,Title,Category,Snippet
120,My wife has accidentally filled the garden with vermin,Life-and-Style,"My oldest son and I are sitting at the kitchen table when my wife walks in, looks out of the window and sighs. It is the middle of a long, dark aftern …"
121,Blind date: ‘For some reason I said yes to every alcoholic drink’,Life-and-Style,"Summary: Gavin on Rob What were you hoping for? The love of my life. Failing that, good food and good company. First impressions? An impressive beard. What did …"
122,The Death of Jesus by JM Coetzee review – a boy who challenges the world,Books,"Martin Amis once complained that JM Coetzee had “got no talent”, showing perhaps that obsessive ranking of talent (here used in a far more debased sen …"
123,"Forget Cats: in a close-run field, Marriage Story was the musical highlight of my holiday",Film,"Summary: So, apparently there was lots of good TV on over the holiday break. Some book adaptations, perhaps? Maybe a sexed-up period drama? Alas, I missed it a …"
124,Braised Pork by An Yu review – a startlingly original debut,Books,"Weird things keep happening in An Yu’s debut novel, Braised Pork. First, a Beijing businessman drowns in a bathtub. Later, a fish tank goes up in flam …"
125,50 easy hacks to change your life in 2020,Life-and-Style,"Environment Use your voice The number one thing that people can do, says Libby Peake, senior policy adviser at the Green Alliance, “is to press your r …"
126,Humiliation by Paulina Flores review – empathetic short stories,Books,"In this impressive debut, nimbly translated by Megan McDowell, Flores explores the indignities of poverty, widespread in her native Chile. In the priz …"
127,Gardening tips: sow sweet peas,Life-and-Style,"Plant this Witch hazels are one of the earliest things to flower every year, their scented, spidery flowers in citrus shades unfurling to lure you int …"
128,What to do with your Christmas tree,Life-and-Style,"Is your Christmas tree looking a little sad? One might imagine it is by now, for the ghost has truly flown, and left a flurry of needles on your floor …"
129,‘I end up eating quinoa in my pants at 11pm’: my year of living (a bit more) healthily,Life-and-Style,It has long been a source of amusement to my friends that I have maintained such a hefty bulk despite my veganism. It is true: I have taken being vega …
130,Hunt: US confrontation with Iran is 'dangerous game of chicken',Politics,Jeremy Hunt has called the US’s escalating confrontation with Iran over the assassination of Tehran’s top general an “incredibly dangerous game of chi …
131,"Sportwatch: Sydney and Phoenix win again, Stars stroll BBL derby – as it happened",Sport,"And that’s where we’ll leave Sportwatch. A night of close, but no cigar across many codes. The Central Coast traveled to Wellington looking to snap a …"
132,"Greggs, guilt and glucose: what I've learned from a life of dieting",Life-and-Style,"1 We want to be thin but we lie about it Since I’ve been a journalist, I’ve done a ton of diets for one article or another. I never had to justify it, …"
133,Fiddlerontheroof wins Tolworth Hurdle in first Grade One jumps race of 2020,Sport,"“The novice hurdlers are our future,” Joe Tizzard said after the Tolworth Hurdle here on Saturday and quite a future it promises to be. Fiddleronthero …"
134,The Gentlemen review – Guy Ritchie’s dated gangster romp,Film,"Guy Ritchie’s latest gangster comedy presents itself as a harmless romp, but behind its wink-wink-nudge-nudge humour is a bitter and dated worldview. …"
135,Vigdis Hjorth: ‘I won’t talk about my family… I’m in enough trouble’,Books,"Summary: “Most families have a kind of official family story,” Vigdis Hjorth says. “‘This is how we do Christmas’, and so on. If one member does not share this …"
136,White romance novelist in racism row says she was used,Books,A white romance novelist’s ethics complaint against the author Courtney Milan for calling her book a “racist mess” led to the censure of Milan and spa …
137,Nadal and Djokovic star as Spain and Serbia make winning starts at ATP Cup,Sport,Summary: It has been six weeks since Rafael Nadal dragged Spain through eight singles and doubles wins in five days to Davis Cup victory in Madrid. Such a tran …
138,Man in hospital after ingesting substance thought to be ricin,UK-News,A man has been taken to hospital in Greater Manchester after reportedly swallowing a poisonous substance believed to be ricin. Police cordoned off Moo …
139,"Carlos Ghosn: an arrest, an escape, and questions about justice in Japan",Business,"Carlos Ghosn’s dramatic escape from Japan to Lebanon last week has raised many questions over how he pulled off such an audacious act, but his motives …"
140,"South Africa 215-8 against England: second Test, day two –",Sport,"Nasser: “England were absolutely superb all day, well led by Joe Root. It’s not a minefield of a pitch but Broad and Anderson got the game by the scru …"
141,Renault alliance struggles to cope with gaping hole left by Carlos Ghosn,Business,"Even before Carlos Ghosn jumped bail in the manner of a Hollywood thriller, the former executive had secured his place in automotive history. Before h …"
142,Fresh Cambridge Analytica leak ‘shows global manipulation is out of control’,UK-News,An explosive leak of tens of thousands of documents from the defunct data firm Cambridge Analytica is set to expose the inner workings of the company …
143,Glorious Gloucester storm back for bonus-point win over Bath,Sport,"Crowds here for years were treated to bruising encounters usually decided by uncompromising home forwards and the boot of an accurate goal-kicker, but …"
144,Book clinic: what are the best titles to help us through tough times?,Books,"Summary: Q: Can you recommend books to help us through tough times – books about how to persevere under difficult circumstances? Angela Robertson, 50, Edinburg …"
145,Joseph O’Connor: ‘A prize nomination brings out your inner Gollum’,Books,"Irish novelist Joseph O’Connor is the author of 18 books, including the bestselling Star of the Sea. His most recent, Shadowplay, won novel of the yea …"
146,Terry Gilliam faces backlash after labeling #MeToo a 'witch-hunt',Film,"The director Terry Gilliam has invited renewed backlash after repeating his claim that he is a “black lesbian in transition”, assailing the #MeToo mov …"
147,"I was taught that if you have a voice, you use it to help others",Politics,"Anyone standing for leader of the Labour party has a responsibility to speak truth, because without that we will never win power. We cannot spend the …"
148,US government agency website crashes amid panic over military draft,US-News,"In the aftermath of the US drone strike that killed the Iranian general Qassem Suleimani in Baghdad, the phrase “World War III” began trending on soci …"
149,Observer Sudoku,Life-and-Style,"Click here to access the print version. Fill the grid using the numbers 1 to 9. Each number must appear just once in every row, column and 3x3 box. Bu …"
150,Observer Killer sudoku,Life-and-Style,"Click here to access the print version. Normal Sudoku rules apply, except the numbers in the cells contained within grey lines add up to the figures i …"
151,From the archive: Norman Mailer meets Clint Eastwood in 1984,Life-and-Style,"Summary: On 29 January 1984, Norman Mailer met Clint Eastwood for the Observer Magazine (‘Mailer Meets His Macho’) and you know what you’re going to get when t …"
152,Plan your plot for 2020: think about seeds and new beds,Life-and-Style,"New dawn, new day, new year. Feeling good about it. Things have turned, honestly. Though there is bound to be wind and rain, maybe snow, we will have …"
153,"Go for brush, blush and a touch of shine",Life-and-Style,A pared-down face is the palate cleanser we need after last month’s obligatory maquillage (over) indulgence. Start with glowing skin. Add a booster in …
154,Obituary: Alexander Frater 1937-2020,Books,"Alexander Frater, the chief travel writer of the Observer from 1986 to 1998 and the author of highly successful travel books, including Chasing the Mo …"
155,Sunday with Hans Ulrich-Obrist: ‘I go to London Zoo – mostly for the architecture’,Life-and-Style,"A morning routine? A run in Kensington Gardens in London, followed by 15 minutes of reading. Then breakfast. My morning ritual is the same every day, …"
156,In the Dream House by Carmen Maria Machado – review,Books,“You’re not allowed to write about this… Don’t you ever write about this. Do you fucking understand me?” So said Carmen Maria Machado’s ex-girlfriend …
157,"David Muir, racing’s conscience, has his eyes on another hurdle",Sport,"New Year’s Eve brought the end of an era as David Muir, who has spent 21 years as racing consultant to the RSPCA, completed his final shift by oversee …"
158,Amanda review – muted Paris terror attack drama,Film,"This tasteful, muted exploration of personal trauma imagines the aftermath of a fictional terrorist attack in modern-day Paris, presumably inspired by …"
159,"Australia v New Zealand: third Test, day three – as it happened",Sport,"Here’s your daily report from the SCG. Australia reasserted their authority over the third Test on day three at the SCG. Nathan Lyon was the star, spi …"
160,Rebel alliance ready to put a halt to  the ‘disneyfication’ of Edinburgh,UK-News,"Summary: For 800 years or so the castle that keeps watch above Scotland’s capital has borne witness to the bloody rise and fall of kingdoms and nations. Now, t …"
